genome_id,b12,heme,folate,biotin,type1,type3,rm
MGYG000000246,0,0,1,0,0,0,0
MGYG000000247,0,0,0,0,1,0,1
MGYG000000248,0,0,1,0,0,0,0
MGYG000000249,1,0,1,1,1,0,1
MGYG000000250,0,0,1,0,1,0,1
MGYG000000251,1,0,1,0,1,0,1
MGYG000000252,1,0,1,0,1,0,1
MGYG000000253,0,0,0,0,1,1,1
MGYG000000254,1,0,1,1,1,0,1
MGYG000000255,1,0,0,0,0,0,0
MGYG000000256,0,0,1,0,0,1,1
MGYG000000257,1,0,0,0,1,0,1
MGYG000000258,0,0,0,0,1,1,1
MGYG000000259,1,0,0,0,0,0,0
MGYG000000260,1,0,0,0,1,1,1
MGYG000000261,0,0,0,0,0,1,1
MGYG000000262,1,0,1,0,0,0,0
MGYG000000263,1,0,1,0,0,0,0
MGYG000000264,0,1,1,0,1,0,1
MGYG000000265,0,0,1,1,1,0,1
MGYG000000266,1,0,0,0,0,0,0
MGYG000000267,0,0,0,0,0,0,0
MGYG000000268,1,0,1,0,0,0,1
MGYG000000269,0,0,0,0,0,0,0
MGYG000000270,1,0,0,0,1,0,1
MGYG000000271,1,0,1,1,0,0,0
MGYG000000272,0,0,1,0,1,0,1
MGYG000000273,1,0,1,1,1,1,1
MGYG000000274,1,0,0,0,1,0,1
MGYG000000275,1,0,0,0,1,0,1
MGYG000000276,1,0,1,0,1,0,1
MGYG000000277,0,0,1,0,1,0,1
MGYG000000278,1,0,0,0,1,0,1
MGYG000000279,1,1,1,1,1,0,1
MGYG000000280,1,0,0,0,0,0,0
MGYG000000281,1,0,0,0,0,0,0
MGYG000000282,0,0,1,0,1,0,1
MGYG000000283,0,0,0,0,0,1,1
MGYG000000284,1,0,1,1,1,0,1
MGYG000000285,0,0,1,0,1,0,1
MGYG000000286,0,0,0,0,1,0,1
MGYG000000287,1,0,1,0,0,0,0
MGYG000000288,1,0,0,0,0,0,0
MGYG000000289,1,0,1,0,0,0,0
MGYG000000290,1,0,0,0,0,0,0
MGYG000000291,0,0,0,0,0,0,0
MGYG000000292,0,0,0,0,1,0,1
MGYG000000293,1,1,1,1,1,0,1
MGYG000000294,1,0,1,1,1,0,1
MGYG000000295,0,0,0,0,0,0,0
MGYG000000296,1,0,1,0,1,0,1
MGYG000000297,0,0,0,0,0,1,1
MGYG000000298,0,0,0,0,1,0,1
MGYG000000299,0,0,1,0,1,0,1
MGYG000000300,0,0,0,0,0,0,0
MGYG000000301,1,0,1,0,0,0,0
MGYG000000302,1,0,0,0,0,0,0
MGYG000000303,0,1,1,0,1,1,1
MGYG000000304,0,0,0,0,0,0,0
MGYG000000305,0,0,1,0,1,1,1
MGYG000000307,0,1,0,0,0,0,1
MGYG000000308,0,0,1,0,0,0,0
MGYG000000309,1,0,0,0,0,0,0
MGYG000000310,1,0,1,0,1,0,1
MGYG000000311,1,1,1,1,1,0,1
MGYG000000312,1,0,0,0,0,0,0
MGYG000000313,0,0,0,0,0,0,0
MGYG000000314,0,0,0,0,1,1,1
MGYG000000315,0,0,0,1,0,0,0
MGYG000000316,0,0,0,0,1,1,1
MGYG000000317,0,1,1,1,1,0,1
MGYG000000318,0,0,0,0,0,1,1
MGYG000000319,0,0,0,0,0,0,0
MGYG000000320,0,0,0,0,0,1,1
MGYG000000321,0,0,0,0,0,0,0
MGYG000000322,0,0,1,1,1,0,1
MGYG000000323,0,0,0,0,1,0,1
MGYG000000324,0,0,0,0,0,0,0
MGYG000000325,1,0,1,0,0,0,0
MGYG000000326,0,0,1,1,1,0,1
MGYG000000327,0,0,0,0,1,0,1
MGYG000000328,0,0,0,0,1,0,1
MGYG000000330,0,0,1,0,0,0,0
MGYG000000331,1,0,0,0,0,0,0
MGYG000000332,0,0,0,0,0,0,0
MGYG000000333,1,0,0,0,0,0,0
MGYG000000334,0,0,0,0,0,0,0
MGYG000000335,0,0,0,0,1,0,1
MGYG000000336,0,0,0,0,0,0,0
MGYG000000337,1,1,1,0,1,0,1
MGYG000000338,0,0,1,0,1,1,1
MGYG000000339,0,0,0,0,1,1,1
MGYG000000342,0,0,0,0,0,0,0
MGYG000000343,1,0,1,1,1,0,1
MGYG000000344,0,0,1,0,0,0,1
MGYG000000345,1,0,1,1,1,1,1
MGYG000000346,1,0,0,0,0,0,0
MGYG000000347,0,0,0,0,0,0,0
MGYG000000348,0,0,1,0,0,0,0
MGYG000000349,0,0,0,0,0,0,0
MGYG000000350,0,0,0,0,0,0,0
MGYG000000351,0,1,1,0,0,0,0
MGYG000000352,0,0,0,0,0,0,0
MGYG000000353,0,0,1,1,0,0,1
MGYG000000354,0,0,1,1,0,1,1
MGYG000000355,1,0,1,1,1,0,1
MGYG000000356,1,0,1,0,1,0,1
MGYG000000357,0,0,1,1,0,0,0
MGYG000000358,0,0,1,0,1,0,1
MGYG000000359,1,0,0,0,0,0,0
MGYG000000360,1,0,1,1,1,1,1
MGYG000000361,1,0,1,0,0,0,0
MGYG000000362,1,0,0,0,0,0,0
MGYG000000363,0,0,1,1,0,0,1
MGYG000000364,0,0,0,0,0,0,0
MGYG000000365,0,0,0,0,0,0,0
MGYG000000366,0,0,0,0,0,0,0
MGYG000000367,0,0,0,0,0,0,0
MGYG000000368,0,0,0,0,0,0,0
MGYG000000369,1,0,0,0,0,0,0
MGYG000000370,1,0,0,0,0,0,0
MGYG000000371,0,0,0,0,0,0,0
MGYG000000372,0,0,0,0,0,0,0
MGYG000000373,0,0,0,0,0,0,0
MGYG000000374,0,0,0,0,1,0,1
MGYG000000375,0,0,0,0,0,0,1
MGYG000000376,0,0,0,0,0,1,1
MGYG000000377,0,0,1,0,1,0,1
MGYG000000378,1,0,0,0,0,0,0
MGYG000000379,0,0,1,0,0,0,1
MGYG000000380,0,0,0,0,0,0,0
MGYG000000381,0,0,0,0,0,0,0
MGYG000000382,0,0,0,0,1,0,1
MGYG000000383,0,0,0,0,0,1,1
MGYG000000384,0,0,0,0,0,0,1
MGYG000000385,0,0,0,1,0,0,1
MGYG000000386,0,0,0,0,1,0,1
MGYG000000387,0,0,1,0,0,0,0
MGYG000000388,0,0,1,0,0,0,0
MGYG000000389,1,0,0,0,0,0,0
MGYG000000390,1,0,0,0,1,1,1
MGYG000000391,0,0,0,0,1,0,1
MGYG000000392,0,0,0,0,0,0,0
MGYG000000393,0,0,1,0,0,0,0
MGYG000000394,0,0,0,0,1,1,1
MGYG000000395,0,0,0,0,0,0,1
MGYG000000396,0,0,0,0,0,0,0
MGYG000000397,0,0,0,0,0,0,0
MGYG000000398,0,0,1,0,0,0,0
MGYG000000399,0,0,0,0,0,0,0
MGYG000000400,0,0,1,1,0,0,0
MGYG000000401,0,0,0,0,0,0,0
MGYG000000402,0,0,0,0,0,0,0
MGYG000000403,0,0,0,0,0,0,0
MGYG000000404,1,0,1,0,0,0,0
MGYG000000405,0,0,0,0,0,0,0
MGYG000000406,0,0,0,0,0,0,1
MGYG000000407,0,0,0,0,1,0,1
MGYG000000408,0,0,1,1,0,0,0
MGYG000000409,0,0,0,0,0,0,1
MGYG000000410,0,0,1,1,1,1,1
MGYG000000411,0,0,1,1,0,0,0
MGYG000000412,0,0,1,0,0,1,1
MGYG000000413,1,0,1,1,0,0,0
MGYG000000414,0,0,1,0,1,0,1
MGYG000000415,0,0,1,0,0,0,0
MGYG000000416,0,0,0,0,0,0,0
MGYG000000417,1,0,1,0,0,0,0
MGYG000000418,0,0,1,1,0,1,1
MGYG000000419,0,0,0,0,0,0,0
MGYG000000420,1,0,0,0,0,0,0
MGYG000000421,0,0,0,0,0,0,0
MGYG000000422,0,0,1,1,0,0,0
MGYG000000423,0,0,0,0,0,0,0
MGYG000000424,1,0,0,0,0,0,0
MGYG000000425,0,0,0,0,0,0,0
MGYG000000426,0,0,0,0,0,0,0
MGYG000000427,0,0,0,0,1,0,1
MGYG000000428,0,0,0,0,1,0,1
MGYG000000429,0,0,0,0,0,0,0
MGYG000000430,0,0,0,0,0,0,0
MGYG000000431,0,0,0,0,0,0,1
MGYG000000432,0,0,0,0,0,0,0
MGYG000000433,0,0,0,0,0,0,1
MGYG000000434,0,0,0,0,0,0,1
MGYG000000435,0,0,0,0,0,0,0
MGYG000000436,0,0,1,1,0,1,1
MGYG000000437,0,0,1,0,1,0,1
MGYG000000438,0,0,1,1,0,0,0
MGYG000000440,0,0,0,0,0,0,1
MGYG000000441,0,1,1,1,1,0,1
MGYG000000442,1,0,1,1,0,0,0
MGYG000000443,0,0,1,0,0,1,1
MGYG000000444,1,0,0,0,1,0,1
MGYG000000445,0,0,0,0,1,0,1
MGYG000000446,0,0,0,0,0,0,0
MGYG000000447,0,0,0,1,0,0,1
MGYG000000448,0,0,1,0,0,1,1
MGYG000000449,0,0,0,0,0,0,0
MGYG000000450,0,0,0,0,0,0,0
MGYG000000451,0,0,1,1,1,0,1
MGYG000000452,0,0,1,0,1,0,1
MGYG000000453,0,0,1,0,0,0,0
MGYG000000454,0,0,0,0,0,0,0
MGYG000000455,0,0,0,0,0,0,0
MGYG000000456,0,0,1,0,0,1,1
MGYG000000457,0,0,0,0,0,0,0
MGYG000000458,0,0,0,0,1,1,1
MGYG000000459,0,0,0,0,0,0,0
MGYG000000460,0,0,1,0,1,0,1
MGYG000000461,0,0,0,0,0,0,0
MGYG000000462,0,0,1,0,0,1,1
MGYG000000463,0,0,0,0,0,0,0
MGYG000000464,0,0,0,0,1,0,1
MGYG000000465,0,0,0,0,0,0,0
MGYG000000466,0,0,0,0,0,0,1
MGYG000000467,0,0,1,1,1,0,1
MGYG000000468,0,0,0,0,1,0,1
MGYG000000469,0,0,0,0,0,0,0
MGYG000000470,0,0,0,0,1,0,1
MGYG000000471,0,0,0,0,0,0,0
MGYG000000472,0,0,0,0,0,0,0
MGYG000000473,0,0,0,0,0,0,1
MGYG000000474,0,0,0,0,0,0,0
MGYG000000475,0,1,1,0,0,0,0
MGYG000000476,0,0,0,0,0,0,0
MGYG000000477,0,0,0,0,0,1,1
MGYG000000478,0,0,0,0,1,0,1
MGYG000000479,0,0,0,0,1,0,1
MGYG000000480,0,1,1,1,0,0,0
MGYG000000481,0,0,0,0,0,0,0
MGYG000000482,0,0,0,0,0,0,0
MGYG000000483,0,0,0,0,0,0,0
MGYG000000484,0,0,1,0,0,0,0
MGYG000000485,0,0,0,1,1,0,1
MGYG000000486,1,0,1,1,1,1,1
MGYG000000487,1,0,0,0,0,0,1
MGYG000000488,0,0,0,0,0,0,1
MGYG000000489,1,0,0,0,1,0,1
MGYG000000490,0,0,0,0,1,0,1
MGYG000000491,0,0,1,1,1,0,1
MGYG000000492,0,0,0,0,1,0,1
MGYG000000493,0,0,1,1,0,1,1
MGYG000000494,0,0,0,0,0,0,1
MGYG000000495,0,0,0,0,1,0,1
MGYG000000496,0,0,0,0,0,0,0
MGYG000000497,0,0,0,0,0,0,0
MGYG000000498,0,0,0,0,0,1,1
MGYG000000499,0,0,0,0,1,1,1
MGYG000000500,1,0,0,0,0,0,0
MGYG000000501,1,0,1,0,1,0,1
MGYG000000502,0,0,0,0,1,1,1
MGYG000000503,0,0,0,1,1,1,1
MGYG000000504,0,1,1,1,0,1,1
MGYG000000505,0,0,0,0,0,0,0
MGYG000000506,0,0,0,0,1,0,1
MGYG000000507,0,0,0,0,1,0,1
MGYG000000508,0,0,0,0,0,0,1
MGYG000000509,0,0,1,0,1,0,1
MGYG000000510,1,0,0,0,0,0,0
MGYG000000511,0,0,0,1,1,0,1
MGYG000000512,1,0,0,0,0,0,0
MGYG000000513,0,1,0,0,1,1,1
MGYG000000514,0,0,1,0,1,0,1
MGYG000000515,1,0,1,0,0,0,0
MGYG000000516,0,0,0,0,0,0,0
MGYG000000517,1,0,1,0,0,1,1
MGYG000000518,0,0,0,0,0,0,0
MGYG000000519,0,0,1,0,0,1,1
MGYG000000520,0,0,0,0,0,0,0
MGYG000000521,0,0,0,0,0,0,0
MGYG000000523,0,0,0,1,1,0,1
MGYG000000524,0,0,0,0,1,0,1
MGYG000000525,0,1,1,0,0,0,0
MGYG000000526,1,0,1,0,1,1,1
MGYG000000527,0,0,0,0,0,0,0
MGYG000000528,0,0,0,0,1,0,1
MGYG000000529,0,0,0,1,1,1,1
MGYG000000530,0,0,0,0,0,0,1
MGYG000000531,0,0,0,0,1,0,1
MGYG000000532,0,0,1,0,1,0,1
MGYG000000533,1,0,1,1,1,1,1
MGYG000000534,0,0,1,0,1,0,1
MGYG000000535,0,0,0,0,0,0,0
MGYG000000536,1,0,1,1,0,0,0
MGYG000000537,0,0,0,0,0,0,0
MGYG000000538,1,0,1,1,1,1,1
MGYG000000539,1,0,0,0,0,0,0
MGYG000000540,0,0,0,0,1,0,1
MGYG000000541,0,0,0,0,1,0,1
MGYG000000542,0,0,1,1,1,1,1
MGYG000000543,1,0,1,0,0,1,1
MGYG000000544,0,0,0,1,1,0,1
MGYG000000545,1,0,1,0,0,0,0
MGYG000000546,1,0,0,0,0,0,0
MGYG000000547,0,0,0,0,1,0,1
MGYG000000548,0,1,1,0,0,0,0
MGYG000000549,0,0,0,1,0,0,1
MGYG000000550,1,0,0,0,1,0,1
MGYG000000551,0,0,0,0,0,1,1
MGYG000000552,0,0,1,0,0,0,0
MGYG000000553,0,0,1,0,0,0,0
MGYG000000554,0,1,0,1,1,0,1
MGYG000000555,1,1,0,1,1,0,1
MGYG000000556,0,0,0,0,0,0,0
MGYG000000557,0,1,1,0,0,0,0
MGYG000000558,1,0,1,0,1,0,1
MGYG000000559,1,0,1,0,1,0,1
MGYG000000560,0,1,1,0,1,0,1
MGYG000000561,1,0,0,0,0,1,1
MGYG000000562,1,0,1,0,1,0,1
MGYG000000563,1,0,0,0,0,0,0
MGYG000000564,0,0,1,0,0,0,0
MGYG000000565,1,0,0,0,1,0,1
MGYG000000566,0,0,0,0,0,0,0
MGYG000000567,0,1,1,1,1,0,1
MGYG000000568,0,0,1,1,0,0,1
MGYG000000570,0,0,0,0,0,0,0
MGYG000000571,0,1,1,0,0,0,1
MGYG000000572,0,0,0,1,0,0,0
MGYG000000573,1,0,0,0,0,0,0
MGYG000000574,0,0,0,0,1,0,1
MGYG000000575,1,0,0,1,1,0,1
MGYG000000576,0,0,1,0,0,0,1
MGYG000000577,0,0,0,0,0,0,0
MGYG000000578,0,0,0,0,0,0,0
MGYG000000579,0,0,0,0,0,0,0
MGYG000000580,0,0,1,0,1,0,1
MGYG000000581,0,0,0,0,0,0,0
MGYG000000582,0,0,1,0,1,0,1
MGYG000000583,1,0,1,0,1,0,1
MGYG000000584,0,0,1,0,1,1,1
MGYG000000585,1,0,0,0,1,0,1
MGYG000000586,0,0,0,0,0,0,0
MGYG000000587,0,0,0,0,0,0,0
MGYG000000588,0,0,0,0,1,0,1
MGYG000000589,1,0,0,0,0,0,0
MGYG000000590,0,0,0,0,0,0,1
MGYG000000591,1,0,0,1,1,0,1
MGYG000000592,0,0,1,0,0,0,0
MGYG000000593,0,0,0,0,0,0,0
MGYG000000594,1,0,0,0,0,0,0
MGYG000000595,1,0,0,0,1,0,1
MGYG000000596,0,0,1,1,1,0,1
MGYG000000597,0,0,0,0,1,0,1
MGYG000000598,1,0,0,0,0,0,0
MGYG000000599,1,0,0,0,0,0,0
MGYG000000600,0,0,0,0,0,0,0
MGYG000000601,0,0,0,0,0,0,0
MGYG000000602,0,0,0,0,1,0,1
MGYG000000603,0,0,0,0,0,0,0
MGYG000000604,1,0,1,1,0,0,0
MGYG000000605,1,0,0,0,0,0,0
MGYG000000606,0,0,1,0,1,0,1
MGYG000000607,0,0,1,0,0,0,0
MGYG000000608,0,0,1,1,1,0,1
MGYG000000609,0,0,0,0,0,0,0
MGYG000000610,0,0,0,0,1,1,1
MGYG000000611,0,0,0,0,0,0,0
MGYG000000612,1,0,1,0,1,0,1
MGYG000000613,1,0,0,0,1,1,1
MGYG000000614,0,0,0,0,0,0,0
MGYG000000615,0,0,0,0,0,0,0
MGYG000000616,0,0,0,0,0,0,0
MGYG000000617,0,0,0,0,1,1,1
MGYG000000618,0,0,0,1,0,1,1
MGYG000000619,0,0,1,0,1,1,1
MGYG000000620,1,0,0,0,0,0,0
MGYG000000621,1,0,1,0,0,0,0
MGYG000000622,0,0,0,0,0,0,0
MGYG000000623,1,0,1,0,0,1,1
MGYG000000624,0,1,1,0,0,0,0
MGYG000000625,1,0,1,0,0,0,0
MGYG000000626,1,0,1,0,0,0,0
MGYG000000627,0,0,1,0,0,0,0
MGYG000000628,0,0,1,0,0,0,1
MGYG000000630,1,0,1,1,1,0,1
MGYG000000631,0,0,1,0,1,0,1
MGYG000000632,0,0,1,0,0,0,0
MGYG000000633,1,0,1,1,0,0,0
MGYG000000634,0,1,1,0,0,1,1
MGYG000000635,0,0,0,0,0,0,0
MGYG000000636,1,0,0,0,1,1,1
MGYG000000637,0,0,0,0,0,1,1
MGYG000000638,1,0,0,0,0,0,0
MGYG000000639,0,0,1,0,0,0,0
MGYG000000640,0,0,0,0,0,1,1
MGYG000000641,1,0,0,0,0,0,0
